01.a,120.17,736.2(b)
01.e,120.17,736.2(b)
01.h,120.17,736.2(b)
01.x,120.17,736.2(b)
02.b,120.17,736.2(b)
02.c,120.17,736.2(b)
02.g,120.17,736.2(b)
02.i,120.17,736.2(b)
03.b,736.2(b)
05.e,120.17,736.2(b)
05.i,120.17,736.2(b)
05.k,120.17,736.2(b)
08.b,120.17,736.2(b)
08.i,120.17,736.2(b)
08.k,120.17,736.2(b)
08.m,120.17,736.2(b)
09.l,762.6,786.2
09.o,120.17,736.2(b)
09.t,120.17,736.2(b)
09.u,120.17,736.2(b)
10.j,120.17,736.2(b)
11.a,127.12,127.12
11.b,127.12
11.c,127.12,127.12
